,0
1150,6073
1151,1575
1152,2271
1153,9440
1154,17602
1155,13746
1156,34755
1157,14972
1158,24358
1159,20885
1160,949
1161,1112
1162,1282
1163,559
1164,1180
1165,949
1166,3625
1167,2982
1168,1490
1169,1022
1170,908
1171,4000
1172,725
1173,1115
1174,5473
1175,6983
1176,9837
1177,785
1178,1428
1179,494
1180,482
1181,277
1182,350
1183,258
1184,538
1185,634
1186,609
1187,1014
1188,318
1189,847
1190,1952
1191,7259
1192,3734
1193,436
1194,7625
1195,1302
1196,2445
1197,245
1198,3355
1199,273
1200,15180
1201,24437
1202,1650
1203,1376
1204,11145
1205,4753
1206,318
1207,230
1208,929
1209,56860
1210,39019
1211,1250
1212,19220
1213,2930
1214,2867
1215,594
1216,1707
1217,651
1218,1818
1219,1058
1220,679
1221,555
1222,15292
1223,1003
1224,500
1225,2270
1226,3769
1227,515
1228,1401
1229,6504
1230,3014
1231,911
1232,2354
1233,950
1234,983
1235,851
1236,1854
1237,51642
1238,1287
1239,3936
1240,1148
1241,1703
1242,1016
1243,2109
1244,15306
1245,7458
1246,9223
1247,1070
1248,736
1249,2315
1250,582
1251,443
1252,513
1253,503
1254,684
1255,13115
1256,2239
1257,736
1258,747
1259,43739
1260,250
1261,2092
1262,46902
1263,1952
1264,65103
1265,37142
1266,36296
1267,3227
1268,11829
1269,10945
1270,4164
1271,817
1272,690
1273,1346
1274,9054
1275,1800
1276,12468
1277,2444
1278,7759
1279,2232
1280,5591
1281,5311
1282,2151
1283,1759
1284,1212
1285,2491
1286,563
1287,1127
1288,2058
1289,421
1290,7970
1291,1101
1292,9009
1293,1363
1294,1042
1295,22303
1296,530475
1297,531572
1298,1991
1299,3828
1300,692
1301,3459
1302,3504
1303,13461
1304,1155
1305,1791
1306,1142
1307,877
1308,3376
1309,3925
1310,823
1311,953
1312,1985
1313,890
1314,2155
1315,348
1316,1014
1317,3319
1318,870
1319,478
1320,409
1321,1641
1322,767
1323,4208
1324,5443
1325,1054
1326,705
1327,914
1328,553
1329,524
1330,842
1331,725
1332,965
1333,6430
1334,2477
1335,714
1336,35383
1337,1382
1338,577
1339,74015
1340,5992
1341,1932
1342,16897
1343,105300
1344,142493
1345,54311
1346,1304
1347,4471
1348,44959
1349,637
1350,859
1351,373
1352,914
1353,415
1354,879
1355,27025
1356,127363
1357,3076
1358,142092
1359,476
1360,22883
1361,4187
1362,35276
1363,51924
1364,708
1365,46125
1366,8382
1367,1637
1368,1483
1369,977
1370,469
1371,5826
1372,1808
1373,1018
1374,6380
1375,2137
1376,940
1377,274
1378,18297
1379,5161
1380,871
1381,12417
1382,890
1383,1082
1384,651
1385,1405
1386,909
1387,921
1388,691
1389,540
1390,619
1391,317
1392,965
1393,913
1394,10915
1395,1655
1396,7385
1397,1978
1398,64067
1399,946
1400,1811
1401,2989
1402,3057
1403,1394
1404,20537
1405,989
1406,3203
1407,9325
1408,8910
1409,277
1410,3656
1411,432
1412,1040
1413,15695
1414,25494
1415,36624
1416,38514
1417,21625
1418,6164
1419,739
1420,6266
1421,670
1422,2430
1423,14732
1424,1018
1425,578
1426,1060
1427,13783
1428,568
1429,849
1430,45105
1431,96146
1432,44181
1433,50274
1434,603
1435,432658
1436,110849
1437,18056
1438,91927
1439,1709
1440,3016
1441,2619
1442,14009
