,Intercept
960,12.78
961,12.715
962,12.725
963,12.837
964,12.937
965,13.069
966,13.133
967,13.178
968,13.19
969,13.219
970,13.184
971,13.215
972,13.21
973,13.216
974,13.242
975,13.274
976,13.262
977,13.273
978,13.284
979,13.295
980,13.348
981,13.476
982,13.51
983,13.553
984,13.581
985,13.609
986,13.63
987,13.649
988,13.659
989,13.694
990,13.644
991,13.637
992,13.641
993,13.669
994,13.648
995,13.617
996,13.602
997,13.551
998,13.59
999,13.644
1000,13.718
1001,13.876
1002,13.977
1003,13.996
1004,14.126
1005,14.168
1006,14.191
1007,14.291
1008,14.328
1009,14.34
1010,14.344
1011,14.392
1012,14.376
1013,14.464
1014,14.51
1015,14.526
1016,14.589
1017,14.647
1018,14.677
1019,14.777
1020,14.809
1021,14.857
1022,14.873
1023,14.892
1024,14.866
1025,14.925
1026,14.966
1027,15.113
1028,15.253
1029,15.279
1030,15.292
1031,15.326
1032,15.418
1033,15.409
1034,15.465
1035,15.52
1036,15.605
1037,15.679
1038,15.536
1039,15.456
1040,15.431
1041,15.368
1042,15.452
1043,15.603
1044,15.691
1045,15.773
1046,15.799
1047,15.79
1048,15.713
1049,15.739
1050,15.726
1051,15.739
1052,15.81
1053,15.855
1054,15.9
1055,15.902
1056,15.852
1057,15.827
1058,15.841
1059,15.942
1060,16.004
1061,16.13
1062,16.241
1063,16.237
1064,16.282
1065,16.279
1066,16.338
1067,16.292
1068,16.233
1069,16.209
1070,16.279
1071,16.354
1072,16.378
1073,16.433
1074,16.409
1075,16.399
1076,16.437
1077,16.474
1078,16.515
1079,16.593
1080,16.586
1081,16.516
1082,16.654
1083,16.685
1084,16.72
1085,16.793
1086,16.833
1087,16.838
1088,16.916
1089,16.892
1090,16.905
1091,16.908
1092,16.844
1093,16.728
1094,16.694
1095,16.67
1096,16.667
1097,16.75
1098,16.721
1099,16.649
1100,16.613
1101,16.496
1102,16.412
1103,16.388
1104,16.276
1105,16.204
1106,16.523
1107,16.507
1108,16.468
1109,16.434
1110,16.4
1111,16.321
1112,16.322
1113,16.324
1114,16.285
1115,16.27
1116,16.209
1117,16.07
1118,15.974
1119,15.856
1120,15.776
1121,15.722
1122,15.716
1123,15.661
1124,15.754
1125,15.683
1126,15.644
1127,15.458
1128,15.249
1129,15.116
1130,15.059
1131,15.019
1132,14.944
1133,14.895
1134,14.871
1135,14.831
1136,14.791
1137,14.731
1138,14.648
1139,14.588
1140,14.525
1141,14.46
1142,14.394
1143,14.278
1144,14.227
1145,14.201
1146,14.193
1147,14.187
1148,14.331
1149,14.372
1150,14.454
1151,14.481
1152,14.449
1153,14.426
1154,14.428
1155,14.451
1156,14.443
1157,14.454
1158,14.42
1159,14.378
1160,14.393
1161,14.303
1162,14.225
1163,14.248
1164,14.242
1165,14.239
1166,14.229
1167,14.372
1168,14.475
1169,14.502
1170,14.461
1171,14.426
1172,14.49
1173,14.547
1174,14.633
1175,14.789
1176,14.907
1177,14.95
1178,14.953
1179,14.926
1180,15.05
1181,15.094
1182,14.96
1183,14.931
1184,14.958
1185,15.032
1186,15.197
1187,15.4
1188,15.556
1189,15.705
1190,15.881
1191,15.985
1192,16.092
1193,16.225
1194,16.303
1195,16.453
1196,16.503
1197,16.448
1198,16.407
1199,16.431
1200,16.393
1201,16.434
1202,16.518
1203,16.61
1204,16.658
1205,16.692
1206,16.428
1207,16.48
1208,16.626
1209,16.771
1210,16.88
1211,16.883
1212,16.89
1213,16.888
1214,16.923
1215,16.931
1216,16.916
1217,16.944
1218,16.96
1219,17.04
1220,17.146
1221,17.127
1222,17.227
1223,17.222
1224,17.311
1225,17.513
1226,17.662
1227,17.897
1228,18.053
1229,18.231
1230,18.412
1231,18.51
1232,18.534
1233,18.503
1234,18.532
1235,18.497
1236,18.46
1237,18.5
1238,18.562
1239,18.572
1240,18.524
1241,18.492
1242,18.504
1243,18.558
1244,18.543
1245,18.553
1246,18.544
1247,18.484
1248,18.375
1249,18.472
1250,18.548
1251,18.47
1252,18.462
1253,18.4
1254,18.401
1255,18.441
1256,18.538
1257,18.518
1258,18.488
1259,18.417
1260,18.354
1261,18.348
1262,18.392
1263,18.354
1264,18.288
1265,18.218
1266,18.14
1267,18.052
1268,18.003
1269,18.002
1270,18.011
1271,17.942
1272,17.889
1273,17.892
1274,17.863
1275,17.7
1276,17.539
1277,17.479
1278,17.46
1279,17.484
1280,17.437
1281,17.376
1282,17.355
1283,17.332
1284,17.262
1285,17.135
1286,16.909
1287,16.721
1288,16.481
1289,16.363
1290,16.252
1291,16.185
1292,16.201
1293,16.174
1294,16.19
1295,16.147
1296,16.144
1297,16.221
1298,16.329
1299,16.358
1300,16.479
1301,16.411
1302,16.395
1303,16.372
1304,16.393
1305,16.439
1306,16.421
1307,16.392
1308,16.34
1309,16.293
1310,16.218
1311,16.233
1312,16.295
1313,16.305
1314,16.351
1315,16.432
1316,16.456
1317,16.515
1318,16.55
1319,16.519
1320,16.481
1321,16.591
1322,16.541
1323,16.682
1324,16.615
1325,16.487
1326,16.417
1327,16.297
1328,16.307
1329,16.281
1330,16.226
1331,16.263
1332,16.491
1333,16.608
1334,16.645
1335,16.756
1336,16.816
1337,16.747
1338,16.729
1339,16.79
1340,16.884
1341,16.902
1342,16.948
1343,16.983
1344,17.026
1345,17.03
1346,17.005
1347,17.075
1348,17.12
1349,17.003
1350,16.989
1351,17.146
1352,17.275
1353,17.414
1354,17.49
1355,17.454
1356,17.409
1357,17.481
1358,17.586
1359,17.672
1360,17.744
1361,17.86
1362,17.866
1363,17.907
1364,17.945
1365,17.999
1366,18.022
1367,18.008
1368,18.108
1369,18.153
1370,18.201
1371,18.309
1372,18.357
1373,18.299
1374,18.313
1375,18.361
1376,18.388
1377,18.414
1378,18.434
1379,18.411
1380,18.321
1381,18.324
1382,18.417
1383,18.495
1384,18.515
1385,18.512
1386,18.567
1387,18.575
1388,18.612
1389,18.572
1390,18.501
1391,18.45
1392,18.485
1393,18.649
1394,18.619
1395,18.581
1396,18.607
1397,18.533
1398,18.465
1399,18.47
1400,18.402
1401,18.462
1402,18.461
1403,18.448
1404,18.425
1405,18.358
1406,18.316
1407,18.328
1408,18.235
1409,18.171
1410,18.161
1411,18.19
1412,18.124
1413,18.132
1414,18.119
1415,18.017
1416,17.997
1417,17.922
1418,17.891
1419,17.948
1420,17.957
1421,17.971
1422,17.956
1423,17.864
1424,17.867
1425,17.846
1426,17.792
1427,17.733
1428,17.627
1429,17.52
1430,17.481
1431,17.479
1432,17.313
1433,17.223
1434,17.173
1435,17.192
1436,17.267
1437,17.37
1438,17.455
1439,17.475
1440,17.48
1441,17.509
1442,17.476
1443,17.398
1444,17.38
1445,17.309
1446,17.337
1447,17.426
1448,17.49
1449,17.529
1450,17.475
1451,17.385
1452,17.328
1453,17.261
1454,17.203
1455,17.269
1456,17.336
1457,17.3
1458,17.253
1459,17.284
1460,17.287
1461,17.255
1462,17.218
1463,17.215
1464,17.204
1465,17.261
1466,17.318
1467,17.386
1468,17.281
1469,17.214
1470,17.186
1471,17.212
1472,17.212
1473,17.27
1474,17.335
1475,17.4
1476,17.483
1477,17.507
1478,17.484
1479,17.512
1480,17.551
1481,17.589
1482,17.588
1483,17.615
1484,17.596
1485,17.576
1486,17.511
1487,17.446
1488,17.42
1489,17.483
1490,17.521
1491,17.586
1492,17.555
1493,17.377
1494,17.395
1495,17.4
1496,17.377
1497,17.364
1498,17.315
1499,17.23
1500,17.202
1501,17.235
1502,17.221
1503,17.216
1504,17.164
1505,17.164
1506,17.163
1507,17.169
1508,17.225
1509,17.223
1510,17.235
1511,17.241
1512,17.412
1513,17.481
1514,17.475
1515,17.55
1516,17.556
1517,17.606
1518,17.671
1519,17.663
1520,17.634
1521,17.525
1522,17.475
1523,17.454
1524,17.368
1525,17.401
1526,17.396
1527,17.406
1528,17.383
1529,17.356
1530,17.339
1531,17.202
1532,17.117
1533,17.036
1534,16.957
1535,16.83
1536,17.017
1537,17.024
1538,16.924
1539,16.841
1540,16.737
1541,16.703
1542,16.684
1543,16.724
1544,16.691
1545,16.68
1546,16.608
1547,16.448
1548,16.324
1549,16.237
1550,16.126
1551,16.086
1552,16.016
1553,15.96
1554,15.963
1555,15.909
1556,15.772
1557,15.736
1558,15.711
1559,15.695
1560,15.746
1561,15.716
1562,15.748
1563,15.713
1564,15.694
1565,15.589
1566,15.553
1567,15.549
1568,15.529
1569,15.5
1570,15.539
1571,15.471
1572,15.483
1573,15.452
1574,15.369
1575,15.323
1576,15.255
1577,15.222
1578,15.288
1579,15.332
1580,15.343
1581,15.358
1582,15.33
1583,15.259
1584,15.299
1585,15.392
1586,15.419
1587,15.445
1588,15.462
1589,15.453
1590,15.48
1591,15.532
1592,15.453
1593,15.409
1594,15.358
1595,15.328
1596,15.34
1597,15.393
1598,15.398
1599,15.499
1600,15.587
1601,15.649
1602,15.741
1603,15.825
1604,15.902
1605,15.941
1606,16.023
1607,16.021
1608,16.086
1609,16.205
1610,16.327
1611,16.389
1612,16.315
1613,16.336
1614,16.433
1615,16.514
1616,16.546
1617,16.535
1618,16.499
1619,16.496
1620,16.577
1621,16.664
1622,16.712
1623,16.787
1624,16.849
1625,16.868
1626,16.871
1627,16.898
1628,16.843
1629,16.81
1630,16.762
1631,16.82
1632,16.838
1633,16.923
1634,16.932
1635,16.965
1636,16.717
1637,16.63
1638,16.668
1639,16.723
1640,16.836
1641,16.892
1642,16.876
1643,16.809
1644,16.768
1645,16.77
1646,16.751
1647,16.775
1648,16.76
1649,16.768
1650,16.829
1651,16.801
1652,16.748
1653,16.684
1654,16.593
1655,16.518
1656,16.727
1657,16.798
1658,16.887
1659,17.002
1660,16.996
1661,17.012
1662,17.062
1663,17.108
1664,17.152
1665,17.29
1666,17.411
1667,17.492
1668,17.605
1669,17.75
1670,17.684
1671,17.73
1672,17.73
1673,17.731
1674,17.777
1675,17.804
1676,17.895
1677,18.003
1678,18.017
1679,17.995
1680,18.37
1681,18.353
1682,18.365
1683,18.436
1684,18.336
1685,18.259
1686,18.236
1687,18.211
1688,18.173
1689,18.095
1690,17.997
1691,17.844
1692,17.797
1693,17.754
1694,17.763
1695,17.709
1696,17.67
1697,17.588
1698,17.643
1699,17.544
1700,17.381
1701,17.322
1702,17.207
1703,17.08
1704,17.011
1705,16.939
1706,16.854
1707,16.75
1708,16.587
1709,16.427
1710,16.291
1711,16.18
1712,16.093
1713,15.943
1714,15.791
1715,15.609
1716,15.534
1717,15.447
1718,15.421
1719,15.33
1720,15.212
1721,15.09
1722,15.068
1723,14.971
1724,14.845
1725,14.764
1726,14.697
1727,14.612
1728,14.622
1729,14.68
1730,14.686
1731,14.625
1732,14.553
1733,14.497
1734,14.505
1735,14.48
1736,14.396
1737,14.376
1738,14.293
1739,14.217
1740,14.109
1741,14.001
1742,13.979
1743,13.951
1744,13.93
1745,13.934
1746,13.976
1747,14.003
1748,14.009
1749,13.972
1750,13.925
1751,13.961
1752,13.988
1753,14.045
1754,14.148
