,Intercept
1735,14.4797337593
1736,14.3958144336
1737,14.3760337911
1738,14.2927154731
1739,14.2169867547
1740,14.1089944745
1741,14.0009474174
1742,13.9790880192
1743,13.9511577827
1744,13.9302467332
1745,13.9337297303
1746,13.975593684
1747,14.0026976453
1748,14.0088251658
1749,13.9721002223
1750,13.9250238701
1751,13.9607525015
1752,13.9878276801
1753,14.0447688134
1754,14.1478476079
1755,14.2027768741
1756,13.9712269933
1757,13.8477809558
1758,13.7151354447
1759,13.4847915695
1760,13.3139518942
1761,13.218600943
1762,13.0829845944
1763,13.0079732971
1764,12.9771160181
1765,12.8801517186
1766,12.7999018125
1767,12.6132771346
1768,12.4690553124
1769,12.3557927291
1770,12.3859467092
1771,12.3341890006
1772,12.2581068282
1773,12.1847783925
1774,12.0627838742
1775,11.9278380491
1776,11.7951390301
1777,11.6267967655
1778,11.5688078747
1779,11.5031970376
1780,11.0846636522
1781,11.0528410112
1782,11.0562955637
1783,10.9977147366
1784,11.0231763806
1785,10.9538117422
1786,10.9257785325
1787,10.9053118912
1788,10.9647710327
1789,11.0197321762
1790,11.1089378942
1791,11.1388333188
1792,11.1089378942
1793,11.1478872985
1794,11.12422319
1795,11.1270045935
1796,11.0342050704
1797,11.0142236874
1798,10.9599749946
1799,11.081200236
1800,11.2079685164
1801,11.1932677072
1802,11.2521868902
1803,11.3128302277
1804,11.3142444199
1805,11.35888208
1806,11.4551281145
1807,11.4960097857
1808,11.5377584449
1809,11.518304896
1810,11.4651557381
1811,11.4086860559
1812,11.3560427144
1813,11.3121231979
1814,11.2747137834
1815,11.2409403275
1816,11.2367257652
1817,11.3008167289
1818,11.2789425939
1819,11.269782175
1820,11.2268979305
1821,11.1820800343
1822,11.0839708824
1823,11.0929802683
1824,11.1988657405
1825,11.1820800343
1826,11.2261962713
1827,11.1939673083
1828,11.1709035434
1829,11.1158831506
1830,11.099915548
1831,11.0798151725
1832,11.0978345089
1833,11.0680491207
1834,11.0618250938
1835,11.0777379019
1836,11.0756610208
1837,11.0342050704
1838,11.0569866038
1839,11.0528410112
1840,11.057677687
1841,11.0992218249
1842,11.1820800343
1843,11.2353212623
1844,11.2831729905
1845,11.2733045322
1846,11.2430482015
1847,11.1890710188
1848,11.1688091954
1849,11.1722999936
1850,11.1729982842
1851,11.1290911025
1852,11.1249184757
1853,11.1457972656
1854,11.0909005295
1855,11.047315972
